physiotherapy,英文名称,英文名称小写,房间名称,房间描述,房间数量,房间面积,面宽,进深,高度,房间类型,房间楼层,医生数量,交通权重,布局权重,窗子权重,最小面积,最大面积,最小数量,最大数量
,waiting_triage_area,waiting_triage_area,候诊分诊,描述,,45.36,8.4,5.4,4.5,公共,0,0,31,31,3,20,250,1,1
,examination,examination,诊室,描述,,16.2,3,5.4,4.5,诊疗,0,2,2,2,0,8.6,17.5,1,20
,patient_restroom,patient_restroom,病人厕所,描述,,27.54,5.1,5.4,4.5,公共,0,0,30,30,1,15,99.9,1,1
,reception,reception,接待/登记,描述,,16.2,3,5.4,4.5,公共,0,1,29,29,2,4,20,1,1
,nurse_station,nurse_station,护士站,描述,,29.16,5.4,5.4,4.5,公共,0,2,28,28,2,4,50,1,1
,Multi-purpose_open_gym,multi-purpose_open_gym,多功能开放式健身房,描述,,81,15,5.4,4.5,医技,0,0,27,27,3,15,99.9,1,1
,Fitness_Equipment,fitness_equipment,健身设备,描述,,17.82,3.3,5.4,4.5,医技,0,1,26,26,2,10,99.9,1,1
,Therapeutic_equipment,therapeutic_equipment,治疗设备,描述,,24.3,4.5,5.4,4.5,医技,0,1,25,25,1,15,99.9,1,1
,Patient_changing_rooms_with_showers,patient_changing_rooms_with_showers,病人更衣室带淋浴间,描述,,17.82,3.3,5.4,4.5,公共,0,0,24,24,1,10,99.9,1,1
,Hearing_room,hearing_room,发音室/听力室,描述,,24.3,4.5,5.4,4.5,医技,0,1,23,23,2,15,99.9,1,1
,Group_therapy_open_area,group_therapy_open_area,集体治疗开放区,描述,,24.3,4.5,5.4,4.5,医技,0,1,22,22,3,15,99.9,1,1
,Pronunciation_room,pronunciation_room,发音治疗室（全封闭）,描述,,24.3,4.5,5.4,4.5,医技,0,1,21,21,3,15,99.9,1,1
,Supply_storage_room,supply_storage_room,发音治疗设备及供应物储藏室,描述,,17.82,3.3,5.4,4.5,医技,0,0,20,20,0,10,99.9,1,1
,Infrared_Thermography_Room,infrared_thermography_room,红外热像图检测室,描述,,24.3,4.5,5.4,4.5,医技,0,1,19,19,2,15,99.9,1,1
,Low_and_medium_frequency_therapy_room,low_and_medium_frequency_therapy_room,低中频治疗室,描述,,24.3,4.5,5.4,4.5,诊疗,0,1,18,18,0,15,99.9,1,1
,Hyperbaric_potential_therapy_room,hyperbaric_potential_therapy_room,高压电位治疗室,描述,,24.3,4.5,5.4,4.5,诊疗,0,1,17,17,3,15,99.9,1,1
,Electrostatic_treatment_room,electrostatic_treatment_room,静电治疗室,描述,,24.3,4.5,5.4,4.5,诊疗,0,1,16,16,3,15,99.9,1,1
,Ultrasound_Treatment_Room,ultrasound_treatment_room,超声治疗室,描述,,24.3,4.5,5.4,4.5,诊疗,0,1,15,15,0,15,99.9,1,1
,Infrared_Therapy_Room,infrared_therapy_room,红外线治疗室,描述,,24.3,4.5,5.4,4.5,诊疗,0,1,14,14,0,15,99.9,1,1
,Ultraviolet_therapy_room,ultraviolet_therapy_room,紫外线治疗室,描述,,24.3,4.5,5.4,4.5,诊疗,0,1,13,13,3,15,99.9,1,1
,Radiant_Heat_Treatment_Room,radiant_heat_treatment_room,辐射热治疗室,描述,,24.3,4.5,5.4,4.5,诊疗,0,1,12,12,0,15,99.9,1,1
,Semiconductor_laser_treatment_room,semiconductor_laser_treatment_room,半导体激光治疗室,描述,,24.3,4.5,5.4,4.5,诊疗,0,1,11,11,3,15,99.9,1,1
,Wax_therapy_room,wax_therapy_room,蜡疗室,描述,,24.3,4.5,5.4,4.5,诊疗,0,1,10,10,2,15,99.9,1,1
,Magnetic_therapy_room,magnetic_therapy_room,磁疗室,描述,,24.3,4.5,5.4,4.5,诊疗,0,1,9,9,2,15,99.9,1,1
,Hydrotherapy_Room,hydrotherapy_room,水疗室,描述,,24.3,4.5,5.4,4.5,诊疗,0,1,8,8,2,15,99.9,1,1
,consultation_room,consultation_room,会诊室,描述,,37.26,6.9,5.4,4.5,诊疗,0,0,7,7,2,30,60,1,1
,clean_room,clean_room,清洁品室,描述,,17.82,3.3,5.4,4.5,后勤,0,0,6,6,1,10,99.9,1,1
,soiled_utility_room,soiled_utility_room,污洗室,描述,,17.82,3.3,5.4,4.5,后勤,0,0,5,5,1,10,99.9,1,1
,doctor_restroom,doctor_restroom,医务人员更衣/厕所,描述,,27.54,5.1,5.4,4.5,后勤,0,0,4,4,1,15,40,1,2
,doctor_office,doctor_office,医护人员/办公室/用房,描述,,17.82,3.3,5.4,4.5,后勤,0,2,3,3,1,10,99.9,1,10
,storage_room,storage_room,储藏室,描述,,17.82,3.3,5.4,4.5,保障,0,0,2,2,0,10,99.9,1,5
,other_rooms,other_rooms,其它用房,描述,,17.82,3.3,5.4,4.5,保障,0,0,1,1,0,10,99.9,1,5
