stomatology,英文名称,英文名称小写,房间名称,房间描述,房间数量,房间面积,面宽,进深,高度,房间类型,房间楼层,医生数量,交通权重,布局权重,窗子权重,最小面积,最大面积,最小数量,最大数量
,waiting_triage_area,waiting_triage_area,候诊分诊,描述,,45.36,8.4,5.4,4.5,公共,0,0,24,24,3,20,250,1,1
,patient_restroom,patient_restroom,病人厕所,描述,,27.54,5.1,5.4,4.5,公共,0,0,23,23,1,15,99.9,1,1
,reception,reception,接待/登记,描述,,16.2,3,5.4,4.5,公共,0,1,22,22,2,4,20,1,1
,nurse_station,nurse_station,护士站,描述,,29.16,5.4,5.4,4.5,公共,0,2,21,21,2,4,50,1,1
,examination,examination,综合诊室,描述,,16.2,3,5.4,4.5,诊疗,0,2,20,20,3,8.6,17.5,1,20
,VIP_Consultation_Room,vip_consultation_room,VIP诊室,描述,,17.82,3.3,5.4,4.5,诊疗,0,1,19,19,3,10,99.9,1,5
,therapeutic_room,therapeutic_room,治疗室,描述,,24.3,4.5,5.4,4.5,诊疗,0,1,18,18,3,15,99.9,1,5
,Orthodontic_Room,orthodontic_room,正畸室,描述,,24.3,4.5,5.4,4.5,医技,0,1,17,17,2,15,99.9,1,1
,Prosthodontic_Room,prosthodontic_room,修复室,描述,,24.3,4.5,5.4,4.5,医技,0,1,16,16,2,15,99.9,1,1
,Dental_X-Ray_Diagnosis,dental_x-ray_diagnosis,牙齿X线诊断,描述,,24.3,4.5,5.4,4.5,医技,0,1,15,15,2,15,99.9,1,1
,Panoramic_dental_radiograph_room,panoramic_dental_radiograph_room,全景牙片室,描述,,24.3,4.5,5.4,4.5,医技,0,1,14,14,2,15,99.9,1,1
,Reporting_Room,reporting_room,报告室,描述,,24.3,4.5,5.4,4.5,医技,0,1,13,13,2,15,99.9,1,1
,Sterilization_and_supply_room,sterilization_and_supply_room,消毒供应室,描述,,19.44,3.6,5.4,4.5,医技,0,1,12,12,2,15,99.9,1,1
,Instrumentation_room,instrumentation_room,器械室,描述,,24.3,4.5,5.4,4.5,医技,0,1,11,11,2,15,99.9,1,1
,Laboratory,laboratory,技工室,描述,,24.3,4.5,5.4,4.5,医技,0,1,10,10,2,15,99.9,1,1
,Dental_mold_storage_room,dental_mold_storage_room,牙模存储室,描述,,17.82,3.3,5.4,4.5,医技,0,1,9,9,2,10,99.9,1,1
,Data_Room,data_room,资料室,描述,,17.82,3.3,5.4,4.5,后勤,0,0,8,8,1,10,99.9,1,1
,consultation_room,consultation_room,会诊室,描述,,37.26,6.9,5.4,4.5,诊疗,0,0,7,7,2,30,60,1,1
,clean_room,clean_room,清洁品室,描述,,17.82,3.3,5.4,4.5,后勤,0,0,6,6,1,10,99.9,1,1
,soiled_utility_room,soiled_utility_room,污洗室,描述,,17.82,3.3,5.4,4.5,后勤,0,0,5,5,1,10,99.9,1,1
,doctor_restroom,doctor_restroom,医务人员更衣/厕所,描述,,27.54,5.1,5.4,4.5,后勤,0,0,4,4,1,15,40,1,2
,doctor_office,doctor_office,医护人员/办公室/用房,描述,,17.82,3.3,5.4,4.5,后勤,0,2,3,3,1,10,99.9,1,10
,storage_room,storage_room,储藏室,描述,,17.82,3.3,5.4,4.5,保障,0,0,2,2,0,10,99.9,1,5
,other_rooms,other_rooms,其它用房,描述,,17.82,3.3,5.4,4.5,保障,0,0,1,1,0,10,99.9,1,5
